Hy-Brasil
Atlantis
great flood
sunken island
mythical island
Lemuria
Ys Brittany
Extreme weather
mass destruction
cataclysm
rising sea levels
blue ocean event
climate chaos
resource privatization
market environmentalism
ecological economics
sustainability
changing landscape
The Drowned World
Marc Augé
Yevgeny Zamyatins We
anthropocene
UN Climate Change Conference
Architecture and design in health settings
Creative Aging
