condol*,-3
confes*,-2
confidence,2
confidences,1
confident,2
confidently,2
confine,-2
confinement,-2
confiscate*,-2
confiscation,-2
conflict*,-2
confound*,-2
confront*,-3
confus*,-2
congested*,-2
congestion,-2
congratulate*,2
congratulation*,3
congratulatory,2
considerate,2
conspiracy,-2
conspirator*,-2
conspire*,-2
consternation,-2
constrain*,-2
consumptive,-2
contagio*,-2
contaminat*,-2
contempt*,-4
contend,-2
contented*,2
contentment,2
contradic*,-2
contrary*,-2
controvers*,-2
convict*,-2
cool,2
coolest,3
coolly,-2
coolness,-2
corrode,-2
corrosion,-2
corrosive*,-2
corrupt*,-3
corruption,-3
cosi*,2
costliness,-2
costly,-2
cosy,3
counteract*,-2
counteraction,-2
counterfeit*,-2
courag*,2
courteous,3
covert*,-2
covet*,-2
coward*,-2
cozi*,2
cozy*,2
crafty,-2
cram,-2
cramp*,-2
cranky,-2
crap,-3
crappy,-3
crass,-2
crave*,-2
crawl*,-1
craz*,-1
craze,-2
craziness,-2
crazy,-2
credulous,-2
cried,-4
cries,-3
crime*,-2
criminal*,-2
cringe,-2
cripple*,-2
crisis,-3
critic,-2
critical*,-2
critici*,-2
croak,-2
crook,-2
crooked,-2
cross,-2
crude*,-2
cruel*,-4
crumble,-2
crumple,-2
crush,-2
crushed,-1
crushing,-2
cry,-4
crye*,-4
crying,-4
cuddl*,3
culpable,-2
culprit,-2
cumbersome,-2
cunt*,-4
curse*,-2
cursory,-2
curt,-2
curtail*,-2
cute*,2
cutie*,2
cynic*,-2
damag*,-1
damn*,-2
danger*,-2
daring,1
dark,-1
darken,-1
darkness,-1
darlin*,3
darn,-2
daunting,-2
dawdle,-2
daze*,-2
dead,-3
deadliness,-2
deadlock,-2
deadly,-2
deadweight,-2
deaf*,-2
dear,2
dearth,-2
death*,-3
debatable,-2
debtor*,-2
decadence,-2
decadent*,-2
decay*,-2
decease,-2
deceit,-2
deceitful*,-3
deceive,-2
deception*,-2
deceptive*,-2
decline*,-2
decompos*,-2
decrease,-2
defam*,-2
default,-2
defeat*,-1
defeatis*,-2
defect*,-2
defective*,-3
defenc*,-1
defendant*,-2
defensive*,-2
defiance,-2
defiant*,-2
deficiency,-2
deficient*,-2
deficit,-2
defile,-2
defy,-2
degenerate*,-2
degrad*,-3
dejected*,-2
delay,-2
delectabl*,3
delicious*,3
deligh*,3
delinquency,-2
delinquent*,-2
delirium,-2
deluge,-2
delusion*,-2
demean*,-2
demeano*,1
demise,-2
demolish*,-2
demon,-2
demoralize,-2
denial,-2
denied,-2
denounce,-2
dent*,-2
deny,-2
dependent,-2
deplete*,-2
deplorable,-2
deplore*,-2
depose*,-2
deprav*,-4
depreciate*,-2
depreciation,-2
depress*,-4
depriv*,-2
deride,-2
derision,-2
derisive*,-2
derogatory,-2
desert,-1
deserting,-2
desertion*,-2
desirable,4
desolate,-2
desolation,-2
despair*,-4
desperat*,-3
despicable*,-4
despis*,-4
destitut*,-3
destroy*,-3
destroyer,1
destruct*,-1
destruction,-2
detachment,-2
detain,-2
deter,-2
determina*,1
determined,1
deterrent*,-2
detest*,-4
detract*,-2
