100000-year problem
Abatement
"Abrupt Climate Change"
Activities implemented jointly (AIJ)
"Adaptive Capacity"
Adaptation Committee (AC)
Adaptation Fund
Ad hoc Group on Article 13 (AG13)
Ad hoc Group on the Berlin Mandate (AGBM)
Ad hoc Working Group on further commitments for Annex I Parties under the Kyoto Protocol (AWG-KP)
Ad hoc Working Group on Long-term Cooperative Action under the Convention (AWG-LCA)
Ad hoc Working Group on the Durban Platform for Enhanced Action (ADP)
"Aerosols"
"Afforestation"
"Albedo"
Alliance of Small Island States (AOSIS)
"Alternative Energy"
"Annex I Countries/Parties"
Annex I Parties
Annex II Parties
Anoxic event
Antarctic oscillation
Anthropocene
Anthropogenic greenhouse emissions
Anthropogenic climate change
Anthropogenic global warming
"Anthropogenic"
Anti-greenhouse effect
Arctic oscillation
Arctic shrinkage
Atlantic Multidecadal Oscillation
"Atmosphere"
"Atmospheric Lifetime"
Atmospheric sciences
"Biofuels"
"Biogeochemical Cycle"
"Biosphere"
"Black Carbon Aerosol"
"Borehole"
CACAM
Carbon credit
"Carbon Cycle"
Carbon diet
"Carbon Dioxide"
"Carbon Dioxide Equivalent"
"Carbon Dioxide Fertilization"
"Carbon Footprint"
Carbon market
Carbon offset
"Carbon Sequestration"
Carbon sink
Carbon tax
"Carbon Capture and Sequestration"
Cartagena Dialogue
CC:TRAIN
CDM Help Desk"
"CDM Loan Scheme
"Chlorofluorocarbons"
Certified emission reductions (CER)
CFC
Clathrate gun hypothesis
Clean Development Mechanism (CDM)
"Climate"
"Climate Change"
Climate change feedback
Climate commitment
"Climate Feedback"
"Climate Lag"
"Climate Model"
"Climate Sensitivity"
"Climate System (or Earth System)
Climate ethics
Climate Justice
Climate legislation
Climate refugee
Climate resilience
Climatology
CO2
Coalition for Rainforest Nations"
"Coal Mine Methane"
"Coalbed Methane"
Conference of the Parties serving as the Meeting of the Parties to the Kyoto Protocol (CMP)
Consultative Group of Experts on National Communications from non-Annex I Parties (CGE)
"Coral Bleaching"
Countries with Economies in Transition (EIT)
"Cryosphere"
"Deforestation"
"Desertification"
"Dryland Farming"
Earth's atmosphere
Earthshine
"Ecosystem"
Eco-efficiency
Ecotax
Ecosystem Services
El Niño
"El Niño - Southern Oscillation (ENSO)"
Emission reduction unit (ERU)
"Emissions"
Emission intensity
Emission inventory
"Emissions Factor"
Emission standards
Emissions trading
"Energy Efficiency"
"ENERGY STAR"
"Enhanced Greenhouse Effect"
Enteric fermentation
Environmental crime
Environmental Integrity Group
"Evaporation"
"Evapotranspiration"
Executive Board of the Clean Development Mechanism
"Feedback Mechanisms"
"Fluorinated Gases"
"Fluorocarbons"
"Forcing Mechanism"
"Fossil Fuel"
Freon
"Fuel Switching"
Fugitive fuel emissions
GCOS
"General Circulation Model (GCM)"
"Geosphere"
"Glacier"
Glacial earthquake
"Global Average Temperature"
Global cooling
Global climate model
Global dimming
Global Environment Facility (GEF)
"Global Warming"
Global warming controversy
Global warming period
"Global Warming Potential"
GOOS
Green Climate Fund (GCF)
"Greenhouse Effect"
"Greenhouse Gas (GHG)"
Greenhouse gas inventory
Group of Mountain Landlocked Developing Countries
Gulf Stream
"Habitat Fragmentation"
"Halocarbons"
"Heat Island"
"Heat Waves"
Heiligendamm Process
Hockey stick graph
Hockey stick controversy
Holocene
Holocene Climatic Optimum
Human impact on the environment
"Hydrocarbons"
"Hydrochlorofluorocarbons (HCFCs)"
"Hydrofluorocarbons (HFCs)"
"Hydrologic Cycle"
"Hydrosphere"
Ice age
"Ice Core"
ICLEI
IEA
"Indirect Emissions"
"Industrial Revolution"
"Infrared Radiation"
Instrumental temperature record
"Intergovernmental Panel on climate Change (IPCC)"
IUCN
Joint Implementation Supervisory Committee (JISC)
Keeling Curve
Kyoto Protocol
Kyoto mechanisms
Land use land-use change and forestry (LULUCF)
"Landfill"
"Least Developed Country"
Little Ice Age
"Longwave Radiation"
Marrakesh Accords
Maunder Minimum
Medieval climate optimum
"Megacities"
"Methane (CH4)"
"Metric Ton"
Mitigation of global warming
Mode of variability
Montreal Protocol
"Mount Pinatubo"
"Municipal Solid Waste (MSW)"
N2O
National adaptation programmes of action (NAPAs)
"Natural Gas"
"Natural Variability"
"Nitrogen Cycle"
"Nitrogen Oxides (NOx)"
"Nitrous Oxide (N2O)"
No-regrets options
"Non-Methane Volatile Organic Compounds (NMVOCs)"
North Atlantic oscillation
"Ocean Acidification"
"Ozone"
"Ozone Depleting Substance (ODS)"
Ozone depletion
"Ozone Layer"
"Ozone Precursors"
Pacific decadal oscillation
Paleocene–Eocene Thermal Maximum
Paleoclimatology
Paleothermometer
"Particulate matter(PM)"
"Perfluorocarbons (PFCs)"
"Permafrost"
"Phenology"
"Photosynthesis"
Polar amplification
Polar city
Pollutant
Post–Kyoto Protocol negotiations on greenhouse gas emissions"
Quantified Emissions Limitation and Reduction Commitments (QELROs)
"Radiation"
"Radiative Forcing"
Radio window
"Recycling"
REDD
REG document
"Reflectivity"
"Reforestation"
"Relative Sea Level Rise"
"Renewable Energy"
"Residence Time"
"Resilience"
"Respiration"
Reservoirs
Rio Conventions
Rio+20
Runaway greenhouse effect
"Salt Water Intrusion"
"Scenarios"
"Sea Surface Temperature"
"Sensitivity"
SF6
"Short Ton"
Slash and burn
"Snowpack"
Socio-ecological system
"Soil Carbon"
"Solar Radiation"
Solar variation
Solar wind
Special Climate Change Fund (SCCF)
Snowball Earth
"Storm Surge"
"Stratosphere"
"Stratospheric Ozone"
"Streamflow"
Subsidiary Body for Implementation (SBI)
Subsidiary Body for Scientific and Technological Advice (SBSTA)
"Subsiding/Subsidence"
"Sulfate Aerosols"
"Sulfur Hexafluoride (SF6)"
Sunspot
Sustainable development
Temperature record
"Teragram"
TEX-86
"Thermal Expansion"
Thermocline
"Thermohaline Circulation"
The Real Global Warming Disaster
Tipping point (climatology)
Timeline of environmental history
"Trace Gas"
Track-two JI
"Troposphere"
"Tropospheric Ozone (O3)"
"Tropospheric Ozone Precursors"
TT:CLEAR
"Tundra"
"Ultraviolet Radiation (UV)"
UNCCD
UNCED
UNDP
UNEP
UNFCCC
Urban heat island
WMO
UNFCCC YOUNGO
"United Nations Framework Convention on Climate Change (UNFCCC)"
"Vulnerability"
"Wastewater"
"Water Vapor"
"Weather"
"100-Year Flood Levels"
