"Assigned amount unit (AAU)
Abatement
Accession
Activities implemented jointly (AIJ)
Adaptation
Adaptation Committee (AC)
Adaptation Fund
Ad hoc Group on Article 13 (AG13)
Ad hoc Group on the Berlin Mandate (AGBM)
Ad hoc Working Group on further commitments for Annex I Parties under the Kyoto Protocol (AWG-KP)
Ad hoc Working Group on Long-term Cooperative Action under the Convention (AWG-LCA)
Ad hoc Working Group on the Durban Platform for Enhanced Action (ADP)
Afforestation
Alliance of Small Island States (AOSIS)
Annex I Parties
Annex II Parties
Anthropogenic greenhouse emissions
Article 6 Supervisory Committee"
"CACAM
Capacity building
Carbon market
Carbon sequestration
Cartagena Dialogue
CBD
CC:TRAIN
CDM Help Desk"
"CDM Loan Scheme
Central Group
Certified emission reductions (CER)
CFC
CG-11
CH4
Chair (or Chairman, Chairperson, etc.)
Clean Development Mechanism (CDM)
Coalition for Rainforest Nations
Clearing house
CO2
Committee of the Whole
Compliance Committee
Common Reporting Format (CRF)
Compliance
Conference of the Parties (COP)
Conference of the Parties serving as the Meeting of the Parties to the Kyoto Protocol (CMP)
Conference room papers (CRPs)
Consultative Group of Experts on National Communications from non-Annex I Parties (CGE)
Countries with Economies in Transition (EIT)
CSD
Deforestation
Designated National Authority (DNA)
DNA Help Desk
Documents
Drafting group
Emission reduction unit (ERU)
Emissions trading
Entry into force
Environmental Integrity Group
ESCAP
European Union (EU)
Executive Board of the Clean Development Mechanism"
"Expert Group on Technology Transfer (EGTT)
Expert review teams
Fast-start Finance (FSF)
Financial Mechanism"
"Fourth Assessment Report (AR4)
Friends of the Chair
Fugitive fuel emissions"
"GATT
GCOS"
"Global Environment Facility (GEF)
Global warming potential (GWP)
GOOS"
Green Climate Fund (GCF)
"Greenhouse gases (GHGs)
Group of 77 (G-77) and China
Group of Mountain Landlocked Developing Countries
GRULAC
GTOS"
"HFC
""Hot air"""
"IAR
ICA
ICAO"
"ICCP
ICLEI
IEA
IGO
IMO
Implementation
INC"
"In-depth review (IDR)
INF document
Informal contact group
Intergovernmental Panel on Climate Change (IPCC)
IOC
ISO
IUCN"
"Joint Implementation Supervisory Committee (JISC)
Joint Liaison Group (JLG)
Joint implementation (JI)
JUSSCANNZ
JWG"
"Kyoto Protocol
Kyoto mechanisms
Land use, land-use change, and forestry (LULUCF)
Least Developed Countries (LDCs)
Least Developed Countries Expert Group (LEG)
Least Developed Country Fund (LDCF)"
Loss and damage
"Marrakesh Accords
Montreal Protocol
MRV"
"N20
National adaptation programmes of action (NAPAs)
National communication
National delegation
Nationally appropriate mitigation actions (NAMAs)
""No-regrets options"""
OECD
OPEC"
"Party
PFC
Plenary
Policies and measures (PAMs)
Quantified Emissions Limitation and Reduction Commitments (QELROs)
REDD
Reforestation
REG document
Research and systematic observation
Reservoirs
Rio Conventions
Rio+20
Removal unit (RMU)
"SF6
Second Assessment Report (SAR)
SIDS
Special Climate Change Fund (SCCF)
""Spill-over effects"" (also referred to as ""rebound effects"" or ""take-back effects"")
Subsidiary Body for Implementation (SBI)
Subsidiary Body for Scientific and Technological Advice (SBSTA)
Sustainable development"
Third Assessment Report (TAR)
Track-two JI
TT:CLEAR
TUNGO"
"Umbrella group
UNCCD
UNCED
UNCTAD
UNDP
UNECE
UNEP
UNFCCC
UNIDO
"WCC
WEOG
WHO
WMO
WSSD
WTO
YOUNGO"
